date,id_cd,cd_name,id_borough,borough,polluting_agent,data_value
2010-12-01,404,Elmhurst and Corona (CD4),3,queens,SO2 (ppb),5.64
2010-12-01,405,Ridgewood and Maspeth (CD5),3,queens,SO2 (ppb),3.6
2010-12-01,406,Rego Park and Forest Hills (CD6),3,queens,SO2 (ppb),4.73
2010-12-01,407,Flushing and Whitestone (CD7),3,queens,SO2 (ppb),3.87
2010-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,SO2 (ppb),3.42
2010-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,SO2 (ppb),3.69
2010-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,SO2 (ppb),2.89
2010-12-01,411,Bayside and Little Neck (CD11),3,queens,SO2 (ppb),3.07
2010-12-01,412,Jamaica and Hollis (CD12),3,queens,SO2 (ppb),2.87
2010-12-01,413,Queens Village (CD13),3,queens,SO2 (ppb),2.52
2010-12-01,414,Rockaway and Broad Channel (CD14),3,queens,SO2 (ppb),1.9
2010-12-01,501,St. George and Stapleton (CD1),5,staten_island,SO2 (ppb),2.13
2010-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,SO2 (ppb),1.82
2010-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,SO2 (ppb),1.52
2011-12-01,101,Financial District (CD1),1,manhattan,SO2 (ppb),2.25
2011-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,SO2 (ppb),4.27
2011-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,SO2 (ppb),3.32
2011-12-01,104,Clinton and Chelsea (CD4),1,manhattan,SO2 (ppb),3.81
2011-12-01,105,Midtown (CD5),1,manhattan,SO2 (ppb),5.28
2011-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,SO2 (ppb),4.63
2011-12-01,107,Upper West Side (CD7),1,manhattan,SO2 (ppb),5.99
2011-12-01,108,Upper East Side (CD8),1,manhattan,SO2 (ppb),6.28
2011-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,SO2 (ppb),5.08
