,date,id_cd,cd_name,id_borough,borough,pm 2.5,air_quality
228,2011-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,8.21,bueno
229,2011-12-01,411,Bayside and Little Neck (CD11),3,queens,8.91,bueno
230,2011-12-01,412,Jamaica and Hollis (CD12),3,queens,8.75,bueno
231,2011-12-01,413,Queens Village (CD13),3,queens,8.3,bueno
232,2011-12-01,414,Rockaway and Broad Channel (CD14),3,queens,6.72,bueno
233,2011-12-01,501,St. George and Stapleton (CD1),5,staten_island,8.39,bueno
234,2011-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,8.22,bueno
235,2011-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,8.63,bueno
236,2012-12-01,101,Financial District (CD1),1,manhattan,12.77,aceptable
237,2012-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,12.67,aceptable
238,2012-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,11.59,bueno
239,2012-12-01,104,Clinton and Chelsea (CD4),1,manhattan,13.33,aceptable
240,2012-12-01,105,Midtown (CD5),1,manhattan,16.09,aceptable
241,2012-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,14.02,aceptable
242,2012-12-01,107,Upper West Side (CD7),1,manhattan,12.58,aceptable
243,2012-12-01,108,Upper East Side (CD8),1,manhattan,13.12,aceptable
244,2012-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,12.28,aceptable
245,2012-12-01,110,Central Harlem (CD10),1,manhattan,12.09,aceptable
246,2012-12-01,111,East Harlem (CD11),1,manhattan,11.98,bueno
247,2012-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,12.07,aceptable
248,2012-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,12.26,aceptable
249,2012-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,11.88,bueno
250,2012-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,11.7,bueno
251,2012-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,12.44,aceptable
252,2012-12-01,205,Fordham and University Heights (CD5),4,the_bronx,12.5,aceptable
253,2012-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,11.71,bueno
254,2012-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,11.71,bueno
255,2012-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,11.32,bueno
256,2012-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,10.89,bueno
257,2012-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,10.29,bueno
258,2012-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,10.62,bueno
259,2012-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,10.59,bueno
260,2012-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,11.72,bueno
261,2012-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,11.15,bueno
262,2012-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,10.41,bueno
263,2012-12-01,304,Bushwick (CD4),2,brooklyn,10.39,bueno
264,2010-06-01,304,Bushwick (CD4),2,brooklyn,12.06,aceptable
265,2012-12-01,305,East New York and Starrett City (CD5),2,brooklyn,10.26,bueno
266,2012-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,11.05,bueno
267,2012-12-01,307,Sunset Park (CD7),2,brooklyn,10.84,bueno
268,2012-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,10.37,bueno
269,2012-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,10.26,bueno
270,2012-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,10.06,bueno
271,2012-12-01,311,Bensonhurst (CD11),2,brooklyn,9.86,bueno
272,2012-12-01,312,Borough Park (CD12),2,brooklyn,10.14,bueno
273,2012-12-01,313,Coney Island (CD13),2,brooklyn,9.67,bueno
274,2012-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,10.19,bueno
275,2012-12-01,315,Sheepshead Bay (CD15),2,brooklyn,9.78,bueno
276,2012-12-01,316,Brownsville (CD16),2,brooklyn,10.43,bueno
277,2012-12-01,317,East Flatbush (CD17),2,brooklyn,10.32,bueno
278,2012-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,9.81,bueno
279,2012-12-01,401,Long Island City and Astoria (CD1),3,queens,10.77,bueno
280,2012-12-01,402,Woodside and Sunnyside (CD2),3,queens,11.73,bueno
281,2012-12-01,403,Jackson Heights (CD3),3,queens,10.1,bueno
282,2012-12-01,404,Elmhurst and Corona (CD4),3,queens,10.45,bueno
283,2012-12-01,405,Ridgewood and Maspeth (CD5),3,queens,10.33,bueno
284,2012-12-01,406,Rego Park and Forest Hills (CD6),3,queens,10.25,bueno
285,2012-12-01,407,Flushing and Whitestone (CD7),3,queens,9.94,bueno
286,2012-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,9.7,bueno
287,2012-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,9.95,bueno
288,2012-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,9.6,bueno
289,2012-12-01,411,Bayside and Little Neck (CD11),3,queens,9.39,bueno
290,2012-12-01,412,Jamaica and Hollis (CD12),3,queens,9.79,bueno
291,2012-12-01,413,Queens Village (CD13),3,queens,9.29,bueno
292,2012-12-01,414,Rockaway and Broad Channel (CD14),3,queens,9.23,bueno
293,2012-12-01,501,St. George and Stapleton (CD1),5,staten_island,9.85,bueno
294,2012-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,9.76,bueno
295,2012-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,9.6,bueno
296,2009-06-01,101,Financial District (CD1),1,manhattan,13.15,aceptable
297,2009-06-01,102,Greenwich Village and Soho (CD2),1,manhattan,12.97,aceptable
298,2009-06-01,103,Lower East Side and Chinatown (CD3),1,manhattan,12.04,aceptable
299,2009-06-01,104,Clinton and Chelsea (CD4),1,manhattan,13.34,aceptable
300,2009-06-01,105,Midtown (CD5),1,manhattan,16.03,aceptable
301,2009-06-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,14.16,aceptable
302,2009-06-01,107,Upper West Side (CD7),1,manhattan,12.13,aceptable
303,2009-06-01,108,Upper East Side (CD8),1,manhattan,12.95,aceptable
304,2009-06-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,11.4,bueno
305,2009-06-01,110,Central Harlem (CD10),1,manhattan,11.3,bueno
306,2009-06-01,111,East Harlem (CD11),1,manhattan,11.48,bueno
307,2009-06-01,112,Washington Heights and Inwood (CD12),1,manhattan,10.99,bueno
308,2009-06-01,201,Mott Haven and Melrose (CD1),4,the_bronx,11.68,bueno
309,2009-06-01,202,Hunts Point and Longwood (CD2),4,the_bronx,11.49,bueno
310,2009-06-01,203,Morrisania and Crotona (CD3),4,the_bronx,11.02,bueno
311,2009-06-01,204,Highbridge and Concourse (CD4),4,the_bronx,11.55,bueno
312,2009-06-01,205,Fordham and University Heights (CD5),4,the_bronx,11.58,bueno
313,2009-06-01,206,Belmont and East Tremont (CD6),4,the_bronx,11.05,bueno
314,2009-06-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,10.92,bueno
315,2009-06-01,208,Riverdale and Fieldston (CD8),4,the_bronx,10.38,bueno
316,2009-06-01,209,Parkchester and Soundview (CD9),4,the_bronx,10.64,bueno
317,2009-06-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,10.37,bueno
318,2009-06-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,10.34,bueno
319,2009-06-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,10.24,bueno
320,2009-06-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,12.26,aceptable
321,2009-06-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,11.74,bueno
322,2009-06-01,303,Bedford Stuyvesant (CD3),2,brooklyn,11.0,bueno
323,2009-06-01,304,Bushwick (CD4),2,brooklyn,10.96,bueno
324,2009-06-01,305,East New York and Starrett City (CD5),2,brooklyn,10.74,bueno
325,2009-06-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,11.68,bueno
326,2009-06-01,307,Sunset Park (CD7),2,brooklyn,11.5,bueno
327,2009-06-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,10.96,bueno
328,2009-06-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,10.84,bueno
329,2009-06-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,10.77,bueno
330,2009-06-01,311,Bensonhurst (CD11),2,brooklyn,10.54,bueno
331,2009-06-01,312,Borough Park (CD12),2,brooklyn,10.78,bueno
