license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,month_date,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent,farebox_per_trip,farebox_per_vehicle,trips_per_month_on_road,farebox_per_month_on_road,daily_farebox_per_trip,daily_farebox_per_vehicle,drivers_vehicles_ratio,monthly_farebox_per_vehicle_on_road,monthly_farebox_per_trip_on_road,monthly_trips_per_vehicle_on_road
FHV - Black Car,18498,0,8019,7994,3873,15.0,3.8,15.1,3.8,29.0,0.0,0,2019-12,2019-12,573438,2019-12-28,0,51,129486,2019,0,18498,0.0,0.0,0.0,277470.0,0.0,0.0,0.0,1.0031273455091319,0.0,0.0,34.70978233675257
FHV - Black Car,22195,0,8625,8634,4409,15.8,4.0,15.9,4.0,25.0,0.0,0,2020-01,2020-01,688045,2020-01-28,0,04,155365,2020,0,22195,0.0,0.0,0.0,350681.0,0.0,0.0,0.0,0.9989576094510076,0.0,0.0,40.6162844567987
FHV - Black Car,20412,0,8415,8403,4238,14.6,3.9,14.7,3.9,27.0,0.0,0,2020-02,2020-02,591948,2020-02-28,0,08,142884,2020,0,20412,0.0,0.0,0.0,298015.2,0.0,0.0,0.0,1.0014280614066404,0.0,0.0,35.4653338093538
FHV - Black Car,13708,0,8345,8342,2917,10.8,3.8,10.9,3.8,24.0,0.0,0,2020-03,2020-03,424948,2020-03-28,0,12,95956,2020,0,13708,0.0,0.0,0.0,148046.40000000002,0.0,0.0,0.0,1.0003596259889715,0.0,0.0,17.747111004555265
FHV - Black Car,5103,0,2413,2425,982,12.2,4.1,12.2,4.1,19.0,0.0,0,2020-04,2020-04,153090,2020-04-28,0,17,35721,2020,0,5103,0.0,0.0,0.0,62256.6,0.0,0.0,0.0,0.9950515463917525,0.0,0.0,25.67282474226804
FHV - Black Car,6180,0,2851,2861,1186,12.9,4.1,12.9,4.1,20.0,0.0,0,2020-05,2020-05,191580,2020-05-28,0,21,43260,2020,0,6180,0.0,0.0,0.0,79722.0,0.0,0.0,0.0,0.9965047186298497,0.0,0.0,27.8650821391122
FHV - Black Car,9323,0,3157,3165,1533,14.5,4.6,14.6,4.6,22.0,0.0,0,2020-06,2020-06,279690,2020-06-28,0,25,65261,2020,0,9323,0.0,0.0,0.0,135183.5,0.0,0.0,0.0,0.9974723538704582,0.0,0.0,42.712006319115325
FHV - Black Car,8692,0,3113,3128,1446,14.3,4.6,14.4,4.6,25.0,0.0,0,2020-07,2020-07,269452,2020-07-28,0,30,60844,2020,0,8692,0.0,0.0,0.0,124295.6,0.0,0.0,0.0,0.9952046035805626,0.0,0.0,39.736445012787726
FHV - Black Car,9723,0,3838,3856,1673,13.5,4.4,13.5,4.4,24.0,0.0,0,2020-08,2020-08,301413,2020-08-28,0,34,68061,2020,0,9723,0.0,0.0,0.0,131260.5,0.0,0.0,0.0,0.9953319502074689,0.0,0.0,34.04058609958506
FHV - Black Car,12762,0,4539,4543,2160,14.3,4.5,14.3,4.5,25.0,0.0,0,2020-09,2020-09,382860,2020-09-28,0,39,89334,2020,0,12762,0.0,0.0,0.0,182496.6,0.0,0.0,0.0,0.9991195245432534,0.0,0.0,40.170944309927364
FHV - Black Car,10932,0,4237,4215,1954,14.4,4.4,14.4,4.3,24.0,0.0,0,2020-10,2020-10,338892,2020-10-28,0,43,76524,2020,0,10932,0.0,0.0,0.0,157420.80000000002,0.0,0.0,0.0,1.0052194543297746,0.0,0.0,37.34775800711744
