month_date,license_class,unique_vehicles,vehicles_per_day
2015-09-28,FHV - Black Car,5875,2769
2015-09-28,FHV - High Volume,26050,15814
2015-09-28,FHV - Livery,10792,7851
2015-09-28,FHV - Lux Limo,3069,1550
2015-09-28,Green,6403,4932
2015-09-28,Yellow,13423,12523
2015-10-28,FHV - Black Car,7652,3974
2015-10-28,FHV - High Volume,28002,17701
2015-10-28,FHV - Livery,16712,11834
2015-10-28,FHV - Lux Limo,3840,2008
2015-10-28,Green,6396,5083
2015-10-28,Yellow,13436,12787
2015-11-28,FHV - Black Car,7942,4024
2015-11-28,FHV - High Volume,28845,18141
2015-11-28,FHV - Livery,16777,12166
2015-11-28,FHV - Lux Limo,3820,1936
2015-11-28,Green,6342,5036
2015-11-28,Yellow,13428,12732
2015-12-28,FHV - Black Car,8429,3928
2015-12-28,FHV - High Volume,30010,18733
2015-12-28,FHV - Livery,16698,12283
2015-12-28,FHV - Lux Limo,3948,1878
2015-12-28,Green,6342,5030
2015-12-28,Yellow,13429,12641
2016-01-28,FHV - Black Car,8788,4087
2016-01-28,FHV - High Volume,32056,19007
2016-01-28,FHV - Livery,18782,11958
2016-01-28,FHV - Lux Limo,3371,1517
2016-01-28,Green,6253,4648
2016-01-28,Yellow,13347,12244
2016-02-28,FHV - Black Car,9138,4768
2016-02-28,FHV - High Volume,31921,19596
2016-02-28,FHV - Livery,16039,11676
2016-02-28,FHV - Lux Limo,3370,1701
2016-02-28,Green,6165,4843
2016-02-28,Yellow,13339,12718
2016-03-28,FHV - Black Car,6543,3846
2016-03-28,FHV - High Volume,32016,19685
2016-03-28,FHV - Livery,15852,11562
2016-03-28,FHV - Lux Limo,3436,1724
2016-03-28,Green,6043,4768
2016-03-28,Yellow,13379,12828
2016-04-28,FHV - Black Car,7036,3939
2016-04-28,FHV - High Volume,33518,20967
2016-04-28,FHV - Livery,17192,12538
2016-04-28,FHV - Lux Limo,3593,1839
2016-04-28,Green,6021,4789
2016-04-28,Yellow,13370,12875
2016-05-28,FHV - Black Car,7029,3818
2016-05-28,FHV - High Volume,35611,21717
2016-05-28,FHV - Livery,16951,12374
2016-05-28,FHV - Lux Limo,3676,1821
2016-05-28,Green,6008,4730
2016-05-28,Yellow,13381,12777
2016-06-28,FHV - Black Car,6794,3957
2016-06-28,FHV - High Volume,37615,23824
2016-06-28,FHV - Livery,16512,12114
2016-06-28,FHV - Lux Limo,3628,1852
2016-06-28,Green,5959,4711
2016-06-28,Yellow,13354,12781
2016-07-28,FHV - Black Car,6423,3336
2016-07-28,FHV - High Volume,38843,23844
2016-07-28,FHV - Livery,15435,10851
2016-07-28,FHV - Lux Limo,2830,1258
2016-07-28,Green,5868,4408
2016-07-28,Yellow,13293,12266
2016-08-28,FHV - Black Car,6289,3383
2016-08-28,FHV - High Volume,43375,25589
2016-08-28,FHV - Livery,15422,10916
2016-08-28,FHV - Lux Limo,3077,1336
2016-08-28,Green,5774,4329
2016-08-28,Yellow,13203,12266
2016-09-28,FHV - Black Car,6261,3456
2016-09-28,FHV - High Volume,46308,28684
2016-09-28,FHV - Livery,14680,10715
2016-09-28,FHV - Lux Limo,2579,1254
2016-09-28,Green,5690,4272
2016-09-28,Yellow,13166,12137
2016-10-28,FHV - Black Car,6381,3375
2016-10-28,FHV - High Volume,47758,30097
2016-10-28,FHV - Livery,14880,10729
2016-10-28,FHV - Lux Limo,2696,1307
2016-10-28,Green,5604,4331
2016-10-28,Yellow,13198,12433
2016-11-28,FHV - Black Car,6114,3345
2016-11-28,FHV - High Volume,49110,30921
2016-11-28,FHV - Livery,14489,10571
2016-11-28,FHV - Lux Limo,2198,1017
2016-11-28,Green,5513,4258
2016-11-28,Yellow,13159,12437
2016-12-28,FHV - Black Car,6140,3102
2016-12-28,FHV - High Volume,50955,32336
2016-12-28,FHV - Livery,14427,10525
2016-12-28,FHV - Lux Limo,2545,1094
2016-12-28,Green,5399,4166
2016-12-28,Yellow,13197,12329
2017-01-28,FHV - Black Car,6431,3297
2017-01-28,FHV - High Volume,52538,32782
2017-01-28,FHV - Livery,14680,10335
2017-01-28,FHV - Lux Limo,3178,1404
2017-01-28,Green,5277,3918
2017-01-28,Yellow,13058,11990
2017-02-28,FHV - Black Car,6769,3599
2017-02-28,FHV - High Volume,53577,34850
2017-02-28,FHV - Livery,14975,10746
2017-02-28,FHV - Lux Limo,3083,1467
2017-02-28,Green,5089,3895
2017-02-28,Yellow,12967,12112
2017-03-28,FHV - Black Car,6815,3742
2017-03-28,FHV - High Volume,54836,35619
2017-03-28,FHV - Livery,14884,10446
2017-03-28,FHV - Lux Limo,2923,1371
2017-03-28,Green,4923,3789
2017-03-28,Yellow,12990,12146
2017-04-28,FHV - Black Car,6725,3536
2017-04-28,FHV - High Volume,57181,36750
2017-04-28,FHV - Livery,14469,10373
2017-04-28,FHV - Lux Limo,3034,1366
2017-04-28,Green,4844,3803
2017-04-28,Yellow,12981,12229
2017-05-28,FHV - Black Car,7435,4054
2017-05-28,FHV - High Volume,59795,38015
2017-05-28,FHV - Livery,14323,10396
2017-05-28,FHV - Lux Limo,3053,1526
2017-05-28,Green,4823,3740
2017-05-28,Yellow,12977,12159
2017-06-28,FHV - Black Car,7394,3840
2017-06-28,FHV - High Volume,62331,40408
2017-06-28,FHV - Livery,14250,9525
2017-06-28,FHV - Lux Limo,3225,1423
2017-06-28,Green,4686,3629
2017-06-28,Yellow,12894,12038
2017-07-28,FHV - Black Car,7486,3515
2017-07-28,FHV - High Volume,63604,40679
2017-07-28,FHV - Livery,14069,9283
2017-07-28,FHV - Lux Limo,3237,1270
2017-07-28,Green,4579,3463
2017-07-28,Yellow,12792,11583
2017-08-28,FHV - Black Car,7406,3686
2017-08-28,FHV - High Volume,64054,41372
2017-08-28,FHV - Livery,13907,9263
2017-08-28,FHV - Lux Limo,3278,1313
2017-08-28,Green,4384,3347
2017-08-28,Yellow,12690,11550
2017-09-28,FHV - Black Car,7693,3906
2017-09-28,FHV - High Volume,65690,43120
2017-09-28,FHV - Livery,13795,9339
2017-09-28,FHV - Lux Limo,3375,1439
2017-09-28,Green,4320,3337
2017-09-28,Yellow,12656,11499
2017-10-28,FHV - Black Car,7882,4221
2017-10-28,FHV - High Volume,67653,45234
2017-10-28,FHV - Livery,13335,9231
2017-10-28,FHV - Lux Limo,2936,1341
2017-10-28,Green,4287,3390
2017-10-28,Yellow,12703,11931
2017-11-28,FHV - Black Car,7331,3859
2017-11-28,FHV - High Volume,68521,46232
2017-11-28,FHV - Livery,12807,8986
2017-11-28,FHV - Lux Limo,2978,1341
2017-11-28,Green,4199,3320
2017-11-28,Yellow,12692,11921
2017-12-28,FHV - Black Car,7703,3720
2017-12-28,FHV - High Volume,70194,46799
2017-12-28,FHV - Livery,12966,8994
2017-12-28,FHV - Lux Limo,3331,1343
2017-12-28,Green,4117,3200
2017-12-28,Yellow,12685,11743
2018-01-28,FHV - Black Car,7410,3778
2018-01-28,FHV - High Volume,71484,46403
2018-01-28,FHV - Livery,12751,8389
2018-01-28,FHV - Lux Limo,3299,1378
2018-01-28,Green,4021,2983
2018-01-28,Yellow,12599,11304
2018-02-28,FHV - Black Car,7529,4063
2018-02-28,FHV - High Volume,71731,48772
2018-02-28,FHV - Livery,12055,8242
2018-02-28,FHV - Lux Limo,3189,1399
2018-02-28,Green,3920,3058
2018-02-28,Yellow,12490,11535
2018-03-28,FHV - Black Car,7471,3988
2018-03-28,FHV - High Volume,72691,49102
2018-03-28,FHV - Livery,11313,7795
2018-03-28,FHV - Lux Limo,3077,1346
2018-03-28,Green,3773,2961
2018-03-28,Yellow,12389,11480
2018-04-28,FHV - Black Car,7176,3832
2018-04-28,FHV - High Volume,74273,49959
2018-04-28,FHV - Livery,11106,7768
2018-04-28,FHV - Lux Limo,3214,1446
2018-04-28,Green,3746,2976
2018-04-28,Yellow,12372,11534
2018-05-28,FHV - Black Car,7224,3906
2018-05-28,FHV - High Volume,76382,51355
2018-05-28,FHV - Livery,10368,7298
2018-05-28,FHV - Lux Limo,3141,1463
2018-05-28,Green,3707,2949
2018-05-28,Yellow,12317,11396
2018-06-28,FHV - Black Car,7119,3809
2018-06-28,FHV - High Volume,77460,51728
2018-06-28,FHV - Livery,10332,7357
2018-06-28,FHV - Lux Limo,3062,1431
2018-06-28,Green,3653,2858
2018-06-28,Yellow,12222,11223
2018-07-28,FHV - Black Car,6188,3086
2018-07-28,FHV - High Volume,78100,51565
2018-07-28,FHV - Livery,9396,6378
2018-07-28,FHV - Lux Limo,2488,1072
2018-07-28,Green,3588,2754
2018-07-28,Yellow,12092,10788
2018-08-28,FHV - Black Car,6609,3448
2018-08-28,FHV - High Volume,78545,51804
2018-08-28,FHV - Livery,9321,6418
2018-08-28,FHV - Lux Limo,2395,1027
2018-08-28,Green,3507,2646
2018-08-28,Yellow,11961,10655
2018-09-28,FHV - Black Car,6140,3232
2018-09-28,FHV - High Volume,80536,53842
2018-09-28,FHV - Livery,8414,5823
2018-09-28,FHV - Lux Limo,2271,1062
2018-09-28,Green,3503,2721
2018-09-28,Yellow,12007,10741
2018-10-28,FHV - Black Car,7476,3933
2018-10-28,FHV - High Volume,82247,56538
2018-10-28,FHV - Livery,9182,6382
2018-10-28,FHV - Lux Limo,2696,1384
2018-10-28,Green,3523,2796
2018-10-28,Yellow,12009,11151
2018-11-28,FHV - Black Car,7340,3891
2018-11-28,FHV - High Volume,83271,56908
2018-11-28,FHV - Livery,9195,6464
2018-11-28,FHV - Lux Limo,2832,1364
2018-11-28,Green,3490,2742
2018-11-28,Yellow,11948,11040
2018-12-28,FHV - Black Car,7286,3463
2018-12-28,FHV - High Volume,85146,56844
2018-12-28,FHV - Livery,9247,6460
2018-12-28,FHV - Lux Limo,2991,1260
2018-12-28,Green,3468,2720
2018-12-28,Yellow,11938,10803
2019-01-28,FHV - Black Car,6072,3156
2019-01-28,FHV - High Volume,84698,56530
2019-01-28,FHV - Livery,8368,5834
2019-01-28,FHV - Lux Limo,2533,1137
2019-01-28,Green,3442,2642
2019-01-28,Yellow,11867,10582
2019-02-28,FHV - Black Car,5103,2811
